id,mood_category,verse_key,text,fullVerse,ref,status,devotional,prayer,createdAt,updatedAt,note
17,anxious,anxious-rom8_15,For ye have not received the spirit of bondage...,"For ye have not received the spirit of bondage again to fear; but ye have received the Spirit of adoption, whereby we cry, Abba, Father.",Romans 8:15,published,Fear is bondage—God gave you the Spirit of sonship instead. You belong to Him.,"Father, thank You for adopting me. Replace fear with the cry of ""Abba"". Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,"You are His child, not a slave to fear."
18,anxious,anxious-heb13_6,The Lord is my helper...,"The Lord is my helper, and I will not fear what man shall do unto me.",Hebrews 13:6,published,"With the Lord as your helper, human threats lose their power.","Lord, You are my helper. I will not fear what others may do. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,His help is greater than any threat.
19,anxious,anxious-ps23_4,"Yea, though I walk through the valley...","Yea, though I walk through the valley of the shadow of death, I will fear no evil: for thou art with me; thy rod and thy staff they comfort me.",Psalm 23:4,published,"Even in the darkest valley, the Shepherd is with you—His presence brings comfort.","Lord, in this valley, remind me You are with me. Comfort me with Your rod and staff. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,You never walk through the valley alone.
20,anxious,anxious-isa43_1,But now thus saith the LORD...,"But now thus saith the LORD that created thee, O Jacob, and he that formed thee, O Israel, Fear not: for I have redeemed thee, I have called thee by thy name; thou art mine.",Isaiah 43:1,published,"God knows your name and has redeemed you—therefore, fear not.","Lord, thank You for calling me by name and redeeming me. I belong to You. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,You are His—fear has no claim.
21,anxious,anxious-ps34_4,"I sought the LORD, and he heard me...","I sought the LORD, and he heard me, and delivered me from all my fears.",Psalm 34:4,published,"When you seek God in fear, He hears and delivers. He removes every fear.","Lord, I seek You today—deliver me from all my fears. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,He hears every cry and answers.
22,anxious,anxious-prov3_5-6,Trust in the LORD with all thine heart...,"Trust in the LORD with all thine heart; and lean not unto thine own understanding. In all thy ways acknowledge him, and he shall direct thy paths.",Proverbs 3:5-6,published,Leaning on your own understanding fuels anxiety—trust Him to direct your path.,"Lord, help me trust You fully and not lean on my own understanding. Direct my paths. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,Trust straightens the path.
23,anxious,anxious-ps34_17,"The righteous cry, and the LORD heareth...","The righteous cry, and the LORD heareth, and delivereth them out of all their troubles.",Psalm 34:17,published,Your cry in anxiety reaches God—He hears and delivers from every trouble.,"Lord, I cry to You in my trouble—deliver me. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,He hears every cry.
24,anxious,anxious-isa35_4,Say to them that are of a fearful heart...,"Say to them that are of a fearful heart, Be strong, fear not: behold, your God will come with vengeance, even God with a recompence; he will come and save you.",Isaiah 35:4,published,"God speaks courage to fearful hearts: ""Be strong, fear not""—He is coming to save.","Lord, strengthen my fearful heart. I will not fear—You are coming. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,Fear not—He is coming.
25,anxious,anxious-ps138_7,Though I walk in the midst of trouble...,"Though I walk in the midst of trouble, thou wilt revive me: thou shalt stretch forth thine hand against the wrath of mine enemies, and thy right hand shall save me.",Psalm 138:7,published,"Even in the midst of trouble, God revives you and saves with His hand.","Lord, revive me in this trouble. Save me with Your right hand. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,He revives the weary.
26,anxious,anxious-1jn4_18,There is no fear in love...,There is no fear in love; but perfect love casteth out fear: because fear hath torment. He that feareth is not made perfect in love.,1 John 4:18,published,Perfect love casts out fear—abide in God's love to lose torment.,"Lord, perfect Your love in me so fear has no place. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,Love drives out fear.
27,anxious,anxious-ps91_5,Thou shalt not be afraid...,Thou shalt not be afraid for the terror by night; nor for the arrow that flieth by day;,Psalm 91:5,published,"Under God's protection, night terrors and daily fears lose power.","Lord, I will not be afraid—You protect me day and night. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,Protection covers every hour.
28,anxious,anxious-prov29_25,The fear of man bringeth a snare...,The fear of man bringeth a snare: but whoso putteth his trust in the LORD shall be safe.,Proverbs 29:25,published,Fear of people traps you—trust in God brings safety.,"Lord, free me from the fear of man. Let my trust in You be my safety. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,Trust in Him is true safety.
29,anxious,anxious-isa12_2,"Behold, God is my salvation...","Behold, God is my salvation; I will trust, and not be afraid: for the LORD JEHOVAH is my strength and my song; he also is become my salvation.",Isaiah 12:2,published,God is your salvation and strength—trust Him and fear departs.,"Lord, You are my salvation. I will trust and not be afraid. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,Trust replaces fear with song.
30,anxious,anxious-ps56_4,In God I will praise his word...,"In God I will praise his word, in God I have put my trust; I will not fear what flesh can do unto me.",Psalm 56:4,published,Praise God's word and trust Him—fear of people fades.,"Lord, I praise Your word and trust You. I will not fear. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,Praise silences fear.
31,anxious,anxious-ps118_6,The LORD is on my side...,The LORD is on my side; I will not fear: what can man do unto me?,Psalm 118:6,published,"With the Lord on your side, fear of man has no power.","Lord, You are on my side. I will not fear. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,He is on your side.
32,anxious,anxious-jer17_7-8,Blessed is the man that trusteth...,"Blessed is the man that trusteth in the LORD, and whose hope the LORD is. For he shall be as a tree planted by the waters...",Jeremiah 17:7-8,published,"Trust in God makes you steady and fruitful, even in dry times.","Lord, let my hope be in You. Plant me firmly. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,Trust roots you deep.
35,anxious,anxious-rom8_38-39,For I am persuaded...,"For I am persuaded, that neither death, nor life, nor angels, nor principalities, nor powers, nor things present, nor things to come, Nor height, nor depth, nor any other creature, shall be able to separate us from the love of God, which is in Christ Jesus our Lord.",Romans 8:38-39,published,Nothing in all creation can separate you from God's love—not even your deepest anxiety.,"Father, thank You that Your love holds me fast. Nothing can separate me from You. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,His love surrounds every fear.
36,anxious,anxious-isa54_4,Fear not; for thou shalt not be ashamed...,"Fear not; for thou shalt not be ashamed: neither be thou confounded; for thou shalt not be put to shame: for thou shalt forget the shame of thy youth, and shalt not remember the reproach of thy widowhood any more.",Isaiah 54:4,published,"God promises you will not be put to shame—fear not, He redeems and restores.","Lord, I will not fear shame or confusion. You are my Redeemer. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,He turns fear into dignity.
37,anxious,anxious-ps139_7-10,Whither shall I go from thy spirit...,"Whither shall I go from thy spirit? or whither shall I flee from thy presence? If I ascend up into heaven, thou art there: if I make my bed in hell, behold, thou art there. If I take the wings of the morning, and dwell in the uttermost parts of the sea; Even there shall thy hand lead me, and thy right hand shall hold me.",Psalm 139:7-10,published,"You cannot outrun God's presence—He is with you in every place, even in anxiety.","Lord, thank You that I can never flee from Your presence. You are always near. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,You are never beyond His reach.
38,anxious,anxious-ps4_8,I will both lay me down in peace...,"I will both lay me down in peace, and sleep: for thou, LORD, only makest me dwell in safety.",Psalm 4:8,published,God gives peaceful sleep even when worries swirl—He alone is your safety.,"Lord, help me lie down in peace tonight. You make me dwell in safety. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,Peaceful sleep is His gift.
39,anxious,anxious-ps61_2,From the end of the earth...,"From the end of the earth will I cry unto thee, when my heart is overwhelmed: lead me to the rock that is higher than I.",Psalm 61:2,published,"When overwhelmed, cry to God—He leads you to the higher Rock of safety.","Lord, when my heart is overwhelmed, lead me to You, my Rock. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,He lifts you above the flood.
40,anxious,anxious-ps37_5,Commit thy way unto the LORD...,Commit thy way unto the LORD; trust also in him; and he shall bring it to pass.,Psalm 37:5,published,"Commit your anxious path to God—trust Him, and He will bring it to pass.","Lord, I commit my way to You. Help me trust You fully. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,He brings to pass what you commit.
41,anxious,anxious-isa41_13,For I the LORD thy God will hold...,"For I the LORD thy God will hold thy right hand, saying unto thee, Fear not; I will help thee.",Isaiah 41:13,published,"God holds your right hand and says, ""Fear not""—He will help you.","Lord, hold my right hand and help me. I will not fear. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,"He holds you and says ""Fear not."""
42,anxious,anxious-ps121_1-2,I will lift up mine eyes...,"I will lift up mine eyes unto the hills, from whence cometh my help. My help cometh from the LORD, which made heaven and earth.",Psalm 121:1-2,published,"Look up—your help comes from the Creator, not from your circumstances.","Lord, I lift my eyes to You. My help comes from You alone. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,Help comes from the Maker of heaven and earth.
43,anxious,anxious-1cor10_13,There hath no temptation taken you...,"There hath no temptation taken you but such as is common to man: but God is faithful, who will not suffer you to be tempted above that ye are able; but will with the temptation also make a way to escape...",1 Corinthians 10:13,published,God is faithful—He will not let anxiety overwhelm you beyond what you can bear.,"Faithful God, thank You that You never let me be tempted beyond what I can bear. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,He is faithful in every trial.
44,anxious,anxious-ps91_1-2,He that dwelleth in the secret place...,"He that dwelleth in the secret place of the most High shall abide under the shadow of the Almighty. I will say of the LORD, He is my refuge and my fortress: my God; in him will I trust.",Psalm 91:1-2,published,Dwell in God's presence—He becomes your refuge and fortress against fear.,"Lord, I dwell in Your secret place. Be my refuge and fortress. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,His shadow covers every fear.
45,anxious,anxious-2cor1_3-4,"Blessed be God, even the Father...","Blessed be God, even the Father of our Lord Jesus Christ, the Father of mercies, and the God of all comfort; Who comforteth us in all our tribulation, that we may be able to comfort them which are in any trouble...",2 Corinthians 1:3-4,published,God is the Father of mercies and all comfort—He comforts you in every tribulation.,"Father of mercies, comfort me in this tribulation. Thank You for Your compassion. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,He comforts in every trouble.
46,anxious,anxious-ps103_13-14,Like as a father pitieth...,"Like as a father pitieth his children, so the LORD pitieth them that fear him. For he knoweth our frame; he remembereth that we are dust.",Psalm 103:13-14,published,God pities you with a father's compassion—He knows your frailty and remembers you.,"Lord, thank You for Your fatherly pity. You know my frame and still love me. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,He remembers you are dust—and loves you anyway.
47,anxious,anxious-ps50_15,And call upon me in the day...,"And call upon me in the day of trouble: I will deliver thee, and thou shalt glorify me.",Psalm 50:15,published,"In your day of trouble, call on God—He promises deliverance.","Lord, in this day of trouble, I call on You. Deliver me and I will glorify You. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,Call—He delivers.
48,anxious,anxious-1jn3_20,For if our heart condemn us...,"For if our heart condemn us, God is greater than our heart, and knoweth all things.",1 John 3:20,published,"Even when your heart condemns you, God is greater—He knows all and loves you still.","Lord, You are greater than my condemning heart. Thank You for Your knowing love. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,He is greater than every accusation.
50,anxious,anxious-lam3_22-23,It is of the LORD's mercies...,"It is of the LORD's mercies that we are not consumed, because his compassions fail not. They are new every morning: great is thy faithfulness.",Lamentations 3:22-23,published,"His mercies are new every morning—even in anxiety, His faithfulness stands.","Lord, thank You for new mercies this morning. Great is Your faithfulness. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,New mercies every day.
201,lonely,lonely-ps23_4,"Yea, though I walk through the valley...","Yea, though I walk through the valley of the shadow of death, I will fear no evil: for thou art with me; thy rod and thy staff they comfort me.",Psalm 23:4,published,"Even in the loneliest valley, the Shepherd never leaves. His presence turns shadows into comfort.","Lord, walk with me through this lonely place. Let Your rod and staff comfort my heart. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,You are never truly alone—He is beside you.
202,lonely,lonely-deut31_6,Be strong and of a good courage...,"Be strong and of a good courage, fear not, nor be afraid... for the LORD thy God, he it is that doth go with thee; he will not fail thee, nor forsake thee.",Deuteronomy 31:6,published,God goes with you — even when no one else does. His nearness is stronger than any solitude.,"Father, remind me You go with me today. Drive away the fear of being alone. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,His presence is the best company.
203,lonely,lonely-isa41_10,Fear thou not; for I am with thee...,"Fear thou not; for I am with thee: be not dismayed; for I am thy God: I will strengthen thee; yea, I will help thee; yea, I will uphold thee with the right hand of my righteousness.",Isaiah 41:10,published,"God speaks directly to the lonely heart: “I am with thee.” You are held, even now.","Lord, when loneliness whispers lies, let me hear Your voice saying “I am with thee.” Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,He is closer than any friend.
204,lonely,lonely-matt28_20,"Lo, I am with you alway...","Lo, I am with you alway, even unto the end of the world. Amen.",Matthew 28:20,published,Jesus’ last promise before ascending: constant companionship. You are never forsaken.,"Jesus, thank You for staying with me always. Quiet the silence with Your presence. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,He stays — even to the end.
205,lonely,lonely-heb13_5,I will never leave thee...,"Let your conversation be without covetousness; and be content with such things as ye have: for he hath said, I will never leave thee, nor forsake thee.",Hebrews 13:5,published,"God’s unbreakable promise — never leave, never forsake. Loneliness cannot override this truth.","Father, anchor my heart in Your promise: You will never leave me. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,Forsaken is impossible with Him.
206,lonely,lonely-ps68_6,God setteth the solitary in families...,God setteth the solitary in families: he bringeth out those which are bound with chains: but the rebellious dwell in a dry land.,Psalm 68:6,published,God sees the solitary and places them in belonging. He is building connection even now.,"Lord, set me in the family You have for me. Release me from isolation. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,He turns solitude into belonging.
207,lonely,lonely-jn14_18,I will not leave you comfortless...,I will not leave you comfortless: I will come to you.,John 14:18,published,Jesus refuses to leave you comfortless. His coming is personal and near.,"Jesus, come to me today. Fill this empty space with Your comfort. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,Comfortless is not His plan.
208,lonely,lonely-isa43_2,When thou passest through the waters...,"When thou passest through the waters, I will be with thee; and through the rivers, they shall not overflow thee: when thou walkest through the fire, thou shalt not be burned...",Isaiah 43:2,published,God walks through every lonely flood and fire with you. You do not pass alone.,"Lord, be with me through these waters of loneliness. Hold me steady. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,He walks every step beside you.
209,lonely,lonely-ps139_7-8,Whither shall I go from thy spirit...,"Whither shall I go from thy spirit? or whither shall I flee from thy presence? If I ascend up into heaven, thou art there...",Psalm 139:7-8,published,There is no place loneliness can hide you from God. He is everywhere you are.,"Father, thank You that I cannot flee Your presence. Meet me here. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,You are surrounded by Him always.
210,lonely,lonely-jos1_9,Have not I commanded thee...,"Have not I commanded thee? Be strong and of a good courage; be not afraid, neither be thou dismayed: for the LORD thy God is with thee whithersoever thou goest.",Joshua 1:9,published,God commands courage because He is with you — loneliness has no final word.,"Lord, make me strong and courageous. Remind me You are with me always. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,His presence banishes isolation.
211,lonely,lonely-ps27_10,When my father and my mother forsake me...,"When my father and my mother forsake me, then the LORD will take me up.",Psalm 27:10,published,"Even when human love fails, God steps in as the ultimate caretaker.","Lord, when others forsake me, take me up into Your arms. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,God takes up the forsaken.
212,lonely,lonely-isa54_10,For the mountains shall depart...,"For the mountains shall depart, and the hills be removed; but my kindness shall not depart from thee, neither shall the covenant of my peace be removed...",Isaiah 54:10,published,God’s kindness and peace are more permanent than mountains — loneliness cannot outlast it.,"Father, let Your kindness surround me when everything else feels distant. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,His kindness never departs.
213,lonely,lonely-jn16_32,Ye shall be scattered...,"Behold, the hour cometh, yea, is now come, that ye shall be scattered, every man to his own, and shall leave me alone: and yet I am not alone, because the Father is with me.",John 16:32,published,"Even when friends scatter, Jesus was never alone — and neither are you.","Jesus, thank You that even in abandonment, the Father is with You—and with me. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,The Father never leaves.
214,lonely,lonely-ps46_1,God is our refuge and strength...,"God is our refuge and strength, a very present help in trouble.",Psalm 46:1,published,"When loneliness feels like trouble, God is your immediate refuge and strength.","Lord, be my refuge and strength in this lonely moment. Help me run to You. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,He is very present—right now.
215,lonely,lonely-2tim4_16-17,At my first answer no man stood with me...,"At my first answer no man stood with me, but all men forsook me... Notwithstanding the Lord stood with me, and strengthened me...",2 Timothy 4:16-17,published,Paul felt forsaken — yet the Lord stood with him. He stands with you too.,"Lord, when no one stands with me, stand with me and strengthen me. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,The Lord stands when others leave.
216,lonely,lonely-isa49_15,Can a woman forget her sucking child...,"Can a woman forget her sucking child, that she should not have compassion on the son of her womb? yea, they may forget, yet will I not forget thee.",Isaiah 49:15,published,Even a mother’s love can fail — God’s never does. You are unforgettable to Him.,"Father, thank You that You will never forget me. Hold me close. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,You are unforgettable to God.
217,lonely,lonely-ps139_17-18,How precious also are thy thoughts unto me...,"How precious also are thy thoughts unto me, O God! how great is the sum of them! If I should count them, they are more in number than the sand...",Psalm 139:17-18,published,God thinks about you constantly — more times than there are grains of sand.,"Lord, Your thoughts about me are precious. Let me feel seen and loved. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,You are always on His mind.
218,lonely,lonely-rom8_38-39,For I am persuaded...,"For I am persuaded, that neither death, nor life, nor angels... shall be able to separate us from the love of God, which is in Christ Jesus our Lord.",Romans 8:38-39,published,Nothing — not even loneliness — can separate you from God’s love.,"Father, thank You that nothing can separate me from Your love. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,Love that nothing can break.
219,lonely,lonely-jer31_3,"Yea, I have loved thee with an everlasting love...","The LORD hath appeared of old unto me, saying, Yea, I have loved thee with an everlasting love: therefore with lovingkindness have I drawn thee.",Jeremiah 31:3,published,God’s love is everlasting — it draws you even in your loneliest moment.,"Lord, draw me with Your everlasting love and lovingkindness today. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,Everlasting love never lets go.
220,lonely,lonely-ps34_18,The LORD is nigh unto them...,The LORD is nigh unto them that are of a broken heart; and saveth such as be of a contrite spirit.,Psalm 34:18,published,God is especially near to the lonely and broken — His nearness is your comfort.,"Lord, draw near to my lonely heart and save me in this moment. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,He is nearest when you feel farthest.
221,lonely,lonely-ps142_4,I looked on my right hand...,"I looked on my right hand, and beheld, but there was no man that would know me: refuge failed me; no man cared for my soul.",Psalm 142:4,published,"When no one cares or knows your pain, God sees and becomes your refuge.","Lord, when no one cares for my soul, be my refuge and know me fully. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,He knows when no one else does.
222,lonely,lonely-2cor6_18,I will be a Father unto you...,"And will be a Father unto you, and ye shall be my sons and daughters, saith the Lord Almighty.",2 Corinthians 6:18,published,God adopts the lonely as His own children — you have a Father who never leaves.,"Father, thank You for being my Father. Let me feel Your fatherly love today. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,You have a Father forever.
223,lonely,lonely-ps147_3,He healeth the broken in heart...,"He healeth the broken in heart, and bindeth up their wounds.",Psalm 147:3,published,"God heals the lonely, broken heart and binds every wound with care.","Lord, heal my broken heart and bind up every wound of loneliness. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,He heals what loneliness breaks.
224,lonely,lonely-1pet5_7,Casting all your care upon him...,Casting all your care upon him; for he careth for you.,1 Peter 5:7,published,Every lonely care is safe with God — because He truly cares for you.,"Father, I cast my lonely cares on You because You care for me. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,His care fills every empty place.
225,lonely,lonely-ps25_16,"Turn thee unto me, and have mercy upon me...","Turn thee unto me, and have mercy upon me; for I am desolate and afflicted.",Psalm 25:16,published,"In desolation and affliction, cry for God’s mercy — He turns toward you.","Lord, turn to me in my loneliness and have mercy. I am desolate. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,He turns when you call.
226,lonely,lonely-ps102_17,He will regard the prayer of the destitute...,"He will regard the prayer of the destitute, and not despise their prayer.",Psalm 102:17,published,God hears the prayer of the lonely and destitute — He never despises it.,"Lord, hear my prayer in this lonely place. Do not despise my cry. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,Your prayer is never despised.
227,lonely,lonely-isa54_7-8,For a small moment have I forsaken thee...,For a small moment have I forsaken thee; but with great mercies will I gather thee.,Isaiah 54:7-8,published,"Even if it feels like God has turned away for a moment, His mercies gather you back.","Lord, gather me with Your great mercies. I feel forsaken — bring me near. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,Mercies gather the forsaken.
228,lonely,lonely-ps22_1,"My God, my God, why hast thou forsaken me...","My God, my God, why hast thou forsaken me? why art thou so far from helping me, and from the words of my roaring?",Psalm 22:1,published,Even Jesus felt forsaken — yet God answered. Your cry is heard too.,"Lord Jesus, You felt forsaken — thank You for understanding my loneliness. Hear me. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,He understands the cry of forsakenness.
229,lonely,lonely-lam3_22-23,It is of the LORD's mercies...,"It is of the LORD's mercies that we are not consumed, because his compassions fail not. They are new every morning: great is thy faithfulness.",Lamentations 3:22-23,published,"In loneliness, God’s mercies renew every morning — you are not consumed.","Lord, thank You for mercies new every morning. Renew me today. Amen.",2026-01-14 10:00:00,2026-01-14 10:00:00,Mercies renew in loneliness.
